N,Iterative,Dynamic Programming,Recursive
1,0.000000,0.000000,0.000000
2,0.000000,0.000001,0.000000
3,0.000000,0.000001,0.000000
4,0.000000,0.000001,0.000000
5,0.000000,0.000001,0.000000
6,0.000000,0.000001,0.000000
7,0.000000,0.000001,0.000000
8,0.000000,0.000001,0.000000
9,0.000000,0.000001,0.000000
10,0.000000,0.000001,0.000000
11,0.000000,0.000001,0.000001
12,0.000000,0.000001,0.000000
13,0.000000,0.000001,0.000001
14,0.000000,0.000001,0.000002
15,0.000000,0.000001,0.000002
16,0.000001,0.000001,0.000004
17,0.000000,0.000001,0.000006
18,0.000000,0.000001,0.000010
19,0.000000,0.000001,0.000017
20,0.000000,0.000001,0.000026
21,0.000000,0.000001,0.000045
22,0.000000,0.000001,0.000069
23,0.000000,0.000001,0.000110
24,0.000000,0.000001,0.000179
25,0.000000,0.000001,0.000289
26,0.000000,0.000001,0.000471
27,0.000000,0.000001,0.000760
28,0.000000,0.000001,0.001220
29,0.000000,0.000001,0.001990
30,0.000001,0.000001,0.003232
