N,Iterative,Dynamic Programming,Recursive
1,0.000003,0.000000,-
2,0.000005,0.000016,-
3,0.000003,0.000015,-
4,0.000002,0.000007,-
5,0.000001,0.000007,-
6,0.000000,0.000007,-
7,0.000000,0.000007,-
8,0.000000,0.000019,-
9,0.000001,0.000007,-
10,0.000000,0.000007,-
11,0.000001,0.000008,-
12,0.000001,0.000008,-
13,0.000001,0.000016,-
14,0.000000,0.000007,-
15,0.000001,0.000016,-
16,0.000001,0.000008,-
17,0.000001,0.000007,-
18,0.000001,0.000016,-
19,0.000000,0.000008,-
20,0.000001,0.000014,-
21,0.000000,0.000009,-
22,0.000001,0.000008,-
23,0.000001,0.000015,-
24,0.000000,0.000009,-
25,0.000000,0.000013,-
26,0.000000,0.000009,-
27,0.000000,0.000009,-
28,0.000001,0.000012,-
29,0.000000,0.000009,-
30,0.000000,0.000013,-
31,0.000001,0.000012,-
32,0.000001,0.000009,-
33,0.000001,0.000010,-
34,0.000001,0.000010,-
35,0.000001,0.000010,-
36,0.000000,0.000011,-
37,0.000001,0.000010,-
38,0.000000,0.000011,-
39,0.000000,0.000010,-
40,0.000001,0.000009,-
41,0.000001,0.000010,-
42,0.000000,0.000010,-
43,0.000001,0.000010,-
44,0.000001,0.000009,-
45,0.000001,0.000009,-
46,0.000000,0.000009,-
47,0.000000,0.000009,-
48,0.000000,0.000009,-
49,0.000000,0.000009,-
50,0.000001,0.000009,-
51,0.000001,0.000009,-
52,0.000000,0.000008,-
53,0.000000,0.000008,-
54,0.000001,0.000008,-
55,0.000000,0.000008,-
56,0.000000,0.000008,-
57,0.000001,0.000007,-
58,0.000000,0.000008,-
59,0.000000,0.000007,-
60,0.000000,0.000008,-
61,0.000000,0.000008,-
62,0.000000,0.000007,-
63,0.000000,0.000008,-
64,0.000001,0.000007,-
65,0.000000,0.000008,-
66,0.000001,0.000007,-
67,0.000000,0.000007,-
68,0.000001,0.000007,-
69,0.000000,0.000009,-
70,0.000000,0.000007,-
71,0.000000,0.000007,-
72,0.000000,0.000007,-
73,0.000001,0.000007,-
74,0.000000,0.000007,-
75,0.000001,0.000006,-
76,0.000000,0.000006,-
77,0.000001,0.000006,-
78,0.000000,0.000007,-
79,0.000000,0.000007,-
80,0.000000,0.000008,-
81,0.000001,0.000007,-
82,0.000000,0.000006,-
83,0.000000,0.000008,-
84,0.000001,0.000006,-
85,0.000000,0.000008,-
86,0.000000,0.000007,-
87,0.000000,0.000007,-
88,0.000000,0.000006,-
89,0.000000,0.000006,-
90,0.000000,0.000007,-
91,0.000000,0.000006,-
92,0.000000,0.000006,-
93,0.000000,0.000007,-
94,0.000000,0.000007,-
95,0.000000,0.000008,-
96,0.000000,0.000008,-
97,0.000001,0.000007,-
98,0.000001,0.000006,-
99,0.000000,0.000006,-
100,0.000000,0.000007,-
101,0.000000,0.000007,-
102,0.000000,0.000007,-
103,0.000000,0.000007,-
104,0.000000,0.000007,-
105,0.000000,0.000006,-
106,0.000000,0.000007,-
107,0.000001,0.000007,-
108,0.000002,0.000006,-
109,0.000000,0.000006,-
110,0.000000,0.000007,-
111,0.000001,0.000006,-
112,0.000000,0.000007,-
113,0.000000,0.000007,-
114,0.000000,0.000007,-
115,0.000000,0.000007,-
116,0.000001,0.000007,-
117,0.000000,0.000007,-
118,0.000000,0.000006,-
119,0.000000,0.000007,-
120,0.000001,0.000007,-
121,0.000000,0.000007,-
122,0.000000,0.000007,-
123,0.000001,0.000006,-
124,0.000000,0.000007,-
125,0.000000,0.000007,-
126,0.000000,0.000006,-
127,0.000000,0.000007,-
128,0.000000,0.000006,-
129,0.000000,0.000007,-
130,0.000001,0.000007,-
131,0.000000,0.000007,-
132,0.000000,0.000008,-
133,0.000000,0.000007,-
134,0.000000,0.000007,-
135,0.000000,0.000006,-
136,0.000000,0.000007,-
137,0.000001,0.000006,-
138,0.000000,0.000007,-
139,0.000001,0.000006,-
140,0.000001,0.000007,-
141,0.000000,0.000006,-
142,0.000001,0.000008,-
143,0.000001,0.000006,-
144,0.000000,0.000008,-
145,0.000001,0.000006,-
146,0.000001,0.000007,-
147,0.000000,0.000007,-
148,0.000000,0.000007,-
149,0.000000,0.000007,-
